Protocol Version #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 15 10 10 15 4 4 0 1250 250.0000 1.0000 100.00 2.7167 0 1250 250.0000 1.0000 100.00 2.7000
SIMPLE randInt 15 20 10 15 4 4 0 2500 500.0000 1.0000 100.00 2.6906 0 1250 250.0000 1.0000 100.00 2.6957
SIMPLE randInt 15 40 10 15 4 4 0 5000 1000.0000 1.0000 100.00 2.7767 0 1250 250.0000 1.0000 100.00 2.7764
SIMPLE randInt 15 80 10 15 4 4 0 10000 2000.0000 1.0000 100.00 2.7198 0 1250 250.0000 1.0000 100.00 2.7124
SIMPLE randInt 15 10 20 15 4 4 0 1250 250.0000 1.0000 100.00 2.7321 0 2500 500.0000 1.0000 100.00 2.7253
SIMPLE randInt 15 20 20 15 4 4 0 2500 500.0000 1.0000 100.00 2.7187 0 2500 500.0000 1.0000 100.00 2.7040
SIMPLE randInt 15 40 20 15 4 4 0 5000 1000.0000 1.0000 100.00 2.7658 0 2500 500.0000 1.0000 100.00 2.7603
SIMPLE randInt 15 80 20 15 4 4 0 10000 2000.0000 1.0000 100.00 2.7104 0 2500 500.0000 1.0000 100.00 2.7018
SIMPLE randInt 15 10 40 15 4 4 0 1250 250.0000 1.0000 100.00 2.7230 0 5000 1000.0000 1.0000 100.00 2.7140
SIMPLE randInt 15 20 40 15 4 4 0 2500 500.0000 1.0000 100.00 2.7494 0 5000 1000.0000 1.0000 100.00 2.7420
SIMPLE randInt 15 40 40 15 4 4 0 5000 1000.0000 1.0000 100.00 2.7879 0 5000 1000.0000 1.0000 100.00 2.7781
SIMPLE randInt 15 80 40 15 4 4 0 10000 2000.0000 1.0000 100.00 2.7144 0 5000 1000.0000 1.0000 100.00 2.7061
SIMPLE randInt 15 10 80 15 4 4 0 1250 250.0000 1.0000 100.00 2.7542 0 10000 2000.0000 1.0000 100.00 2.7367
SIMPLE randInt 15 20 80 15 4 4 0 2500 500.0000 1.0000 100.00 2.7101 0 10000 2000.0000 1.0000 100.00 2.7049
SIMPLE randInt 15 40 80 15 4 4 0 5000 1000.0000 1.0000 100.00 2.7401 0 10000 2000.0000 1.0000 100.00 2.7360
SIMPLE randInt 15 80 80 15 4 4 0 10000 2000.0000 1.0000 100.00 2.6961 0 10000 2000.0000 1.0000 100.00 2.6871
CWFR randInt 15 10 10 15 4 4 976 274 54.8000 .2192 21.92 1.7247 0 1250 250.0000 1.0000 100.00 2.7238
CWFR randInt 15 20 10 15 4 4 1968 532 106.4000 .2128 21.28 1.7145 0 1250 250.0000 1.0000 100.00 2.7209
CWFR randInt 15 40 10 15 4 4 3869 1131 226.2000 .2262 22.62 1.7300 0 1250 250.0000 1.0000 100.00 2.7083
CWFR randInt 15 80 10 15 4 4 7670 2330 466.0000 .2330 23.30 1.7485 0 1250 250.0000 1.0000 100.00 2.7208
