Protocol Version Latency #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 1 15 80 20 105 4 4 0 10000 2000.0000 1.0000 100.00 2.3782 0 2500 500.0000 1.0000 100.00 2.3689
SIMPLE randInt 10 15 80 20 105 4 4 0 10000 2000.0000 1.0000 100.00 2.4907 0 2500 500.0000 1.0000 100.00 2.4786
SIMPLE randInt 50 15 80 20 105 4 4 0 10000 2000.0000 1.0000 100.00 2.9618 0 2500 500.0000 1.0000 100.00 2.9448
SIMPLE randInt 100 15 80 20 105 4 4 0 10000 2000.0000 1.0000 100.00 3.5692 0 2500 500.0000 1.0000 100.00 3.5425
SIMPLE randInt 150 15 80 20 105 4 4 0 10000 2000.0000 1.0000 100.00 4.1886 0 2500 500.0000 1.0000 100.00 4.1695
SIMPLE randInt 200 15 80 20 105 4 4 0 10000 2000.0000 1.0000 100.00 4.8047 0 2500 500.0000 1.0000 100.00 4.7890
SIMPLE randInt 250 15 80 20 105 4 4 0 9997 1999.4000 1.0000 100.00 5.3870 0 2499 499.8000 1.0000 100.00 5.3754
SIMPLE randInt 300 15 80 20 105 4 4 0 9977 1995.4000 1.0000 100.00 6.0565 0 2495 499.0000 1.0000 100.00 6.0411
CWFR randInt 1 15 80 20 105 4 4 6974 3026 605.2000 .3026 30.26 1.6185 0 2500 500.0000 1.0000 100.00 2.3633
CWFR randInt 10 15 80 20 105 4 4 6838 3162 632.4000 .3162 31.62 1.7154 0 2500 500.0000 1.0000 100.00 2.4652
CWFR randInt 50 15 80 20 105 4 4 6904 3096 619.2000 .3096 30.96 2.0147 0 2500 500.0000 1.0000 100.00 2.9611
CWFR randInt 100 15 80 20 105 4 4 6811 3189 637.8000 .3189 31.89 2.4335 0 2500 500.0000 1.0000 100.00 3.5638
CWFR randInt 150 15 80 20 105 4 4 7011 2989 597.8000 .2989 29.89 2.7903 0 2500 500.0000 1.0000 100.00 4.1724
CWFR randInt 200 15 80 20 105 4 4 7166 2834 566.8000 .2834 28.34 3.1448 0 2500 500.0000 1.0000 100.00 4.8048
CWFR randInt 250 15 80 20 105 4 4 7393 2607 521.4000 .2607 26.07 3.4705 0 2500 500.0000 1.0000 100.00 5.3778
CWFR randInt 300 15 80 20 105 4 4 7348 2652 530.4000 .2652 26.52 3.8961 0 2500 500.0000 1.0000 100.00 6.0573
SSO_APRX randInt 1 15 80 20 105 4 4 3724 6276 1255.2000 .6276 62.76 2.4149 98 2402 480.4000 .9608 96.08 2.5647
SSO_APRX randInt 10 15 80 20 105 4 4 3772 6228 1245.6000 .6228 62.28 2.4846 101 2399 479.8000 .9596 95.96 2.6110
SSO_APRX randInt 50 15 80 20 105 4 4 3423 6577 1315.4000 .6577 65.77 3.1046 163 2337 467.4000 .9348 93.48 3.1121
SSO_APRX randInt 100 15 80 20 105 4 4 3722 6278 1255.6000 .6278 62.78 3.6214 144 2356 471.2000 .9424 94.24 3.6802
SSO_APRX randInt 150 15 80 20 105 4 4 3763 6237 1247.4000 .6237 62.37 4.2038 188 2312 462.4000 .9248 92.48 4.2429
SSO_APRX randInt 200 15 80 20 105 4 4 3847 6153 1230.6000 .6153 61.53 4.6802 189 2311 462.2000 .9244 92.44 4.7420
SSO_APRX randInt 250 15 80 20 105 4 4 3877 6123 1224.6000 .6123 61.23 5.2364 217 2283 456.6000 .9132 91.32 5.3305
SSO_APRX randInt 300 15 80 20 105 4 4 4330 5670 1134.0000 .5670 56.70 5.5085 262 2238 447.6000 .8952 89.52 5.8444
