Protocol Version #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 25 10 10 25 4 4 0 1250 250.0000 1.0000 100.00 2.9217 0 1250 250.0000 1.0000 100.00 2.9072
SIMPLE randInt 25 20 10 25 4 4 0 2500 500.0000 1.0000 100.00 2.9567 0 1250 250.0000 1.0000 100.00 2.9358
SIMPLE randInt 25 40 10 25 4 4 0 5000 1000.0000 1.0000 100.00 2.9981 0 1250 250.0000 1.0000 100.00 2.9827
SIMPLE randInt 25 80 10 25 4 4 0 10000 2000.0000 1.0000 100.00 2.9448 0 1250 250.0000 1.0000 100.00 2.9322
SIMPLE randInt 25 10 20 25 4 4 0 1250 250.0000 1.0000 100.00 2.9497 0 2500 500.0000 1.0000 100.00 2.9448
SIMPLE randInt 25 20 20 25 4 4 0 2500 500.0000 1.0000 100.00 2.9546 0 2500 500.0000 1.0000 100.00 2.9525
SIMPLE randInt 25 40 20 25 4 4 0 5000 1000.0000 1.0000 100.00 2.9442 0 2500 500.0000 1.0000 100.00 2.9373
SIMPLE randInt 25 80 20 25 4 4 0 10000 2000.0000 1.0000 100.00 2.9631 0 2500 500.0000 1.0000 100.00 2.9550
SIMPLE randInt 25 10 40 25 4 4 0 1250 250.0000 1.0000 100.00 2.9938 0 5000 1000.0000 1.0000 100.00 2.9881
SIMPLE randInt 25 20 40 25 4 4 0 2500 500.0000 1.0000 100.00 2.9451 0 5000 1000.0000 1.0000 100.00 2.9328
SIMPLE randInt 25 40 40 25 4 4 0 5000 1000.0000 1.0000 100.00 2.9797 0 5000 1000.0000 1.0000 100.00 2.9764
SIMPLE randInt 25 80 40 25 4 4 0 10000 2000.0000 1.0000 100.00 2.9932 0 5000 1000.0000 1.0000 100.00 2.9892
SIMPLE randInt 25 10 80 25 4 4 0 1250 250.0000 1.0000 100.00 3.0275 0 10000 2000.0000 1.0000 100.00 3.0179
SIMPLE randInt 25 20 80 25 4 4 0 2500 500.0000 1.0000 100.00 2.9774 0 10000 2000.0000 1.0000 100.00 2.9753
SIMPLE randInt 25 40 80 25 4 4 0 5000 1000.0000 1.0000 100.00 2.9842 0 10000 2000.0000 1.0000 100.00 2.9787
SIMPLE randInt 25 80 80 25 4 4 0 10000 2000.0000 1.0000 100.00 2.9315 0 10000 2000.0000 1.0000 100.00 2.9213
CWFR randInt 25 10 10 25 4 4 999 251 50.2000 .2008 20.08 1.8119 0 1250 250.0000 1.0000 100.00 2.9087
CWFR randInt 25 20 10 25 4 4 2029 471 94.2000 .1884 18.84 1.8201 0 1250 250.0000 1.0000 100.00 2.9568
CWFR randInt 25 40 10 25 4 4 4001 999 199.8000 .1998 19.98 1.8634 0 1250 250.0000 1.0000 100.00 3.0031
CWFR randInt 25 80 10 25 4 4 7965 2035 407.0000 .2035 20.35 1.8368 0 1250 250.0000 1.0000 100.00 2.9696
CWFR randInt 25 10 20 25 4 4 1043 207 41.4000 .1656 16.56 1.7780 0 2500 500.0000 1.0000 100.00 2.9416
CWFR randInt 25 20 20 25 4 4 2068 432 86.4000 .1728 17.28 1.7671 0 2500 500.0000 1.0000 100.00 2.9350
CWFR randInt 25 40 20 25 4 4 4155 845 169.0000 .1690 16.90 1.7753 0 2500 500.0000 1.0000 100.00 2.9172
CWFR randInt 25 80 20 25 4 4 8391 1609 321.8000 .1609 16.09 1.7935 0 2500 500.0000 1.0000 100.00 2.9829
CWFR randInt 25 10 40 25 4 4 1108 142 28.4000 .1136 11.36 1.7140 0 5000 1000.0000 1.0000 100.00 2.9939
CWFR randInt 25 20 40 25 4 4 2252 248 49.6000 .0992 9.92 1.6892 0 5000 1000.0000 1.0000 100.00 2.9612
CWFR randInt 25 40 40 25 4 4 4490 510 102.0000 .1020 10.20 1.6782 0 5000 1000.0000 1.0000 100.00 2.9327
CWFR randInt 25 80 40 25 4 4 9125 875 175.0000 .0875 8.75 1.6997 0 5000 1000.0000 1.0000 100.00 3.0048
CWFR randInt 25 10 80 25 4 4 1191 59 11.8000 .0472 4.72 1.6210 0 10000 2000.0000 1.0000 100.00 2.9767
CWFR randInt 25 20 80 25 4 4 2373 127 25.4000 .0508 5.08 1.6259 0 10000 2000.0000 1.0000 100.00 2.9601
CWFR randInt 25 40 80 25 4 4 4790 210 42.0000 .0420 4.20 1.6113 0 10000 2000.0000 1.0000 100.00 2.9784
CWFR randInt 25 80 80 25 4 4 9517 483 96.6000 .0483 4.83 1.6064 0 10000 2000.0000 1.0000 100.00 2.9256
SSO_APRX randInt 25 10 10 25 4 4 1118 132 26.4000 .1056 10.56 1.8615 772 478 95.6000 .3824 38.24 2.1346
SSO_APRX randInt 25 20 10 25 4 4 2226 274 54.8000 .1096 10.96 1.8946 823 427 85.4000 .3416 34.16 2.1491
SSO_APRX randInt 25 40 10 25 4 4 4448 552 110.4000 .1104 11.04 1.9050 802 448 89.6000 .3584 35.84 2.1647
SSO_APRX randInt 25 80 10 25 4 4 8861 1139 227.8000 .1139 11.39 1.9057 823 427 85.4000 .3416 34.16 2.1451
SSO_APRX randInt 25 10 20 25 4 4 999 251 50.2000 .2008 20.08 2.2562 791 1709 341.8000 .6836 68.36 2.6722
SSO_APRX randInt 25 20 20 25 4 4 1974 526 105.2000 .2104 21.04 2.2496 790 1710 342.0000 .6840 68.40 2.6532
SSO_APRX randInt 25 40 20 25 4 4 3952 1048 209.6000 .2096 20.96 2.2509 722 1778 355.6000 .7112 71.12 2.6909
SSO_APRX randInt 25 80 20 25 4 4 7926 2074 414.8000 .2074 20.74 2.2810 764 1736 347.2000 .6944 69.44 2.7161
SSO_APRX randInt 25 10 40 25 4 4 822 428 85.6000 .3424 34.24 2.9515 286 4714 942.8000 .9428 94.28 3.2168
SSO_APRX randInt 25 20 40 25 4 4 1689 811 162.2000 .3244 32.44 2.8060 249 4751 950.2000 .9502 95.02 3.1173
SSO_APRX randInt 25 40 40 25 4 4 3378 1622 324.4000 .3244 32.44 2.8640 284 4716 943.2000 .9432 94.32 3.1509
SSO_APRX randInt 25 80 40 25 4 4 6678 3322 664.4000 .3322 33.22 2.8885 228 4772 954.4000 .9544 95.44 3.1769
SSO_APRX randInt 25 10 80 25 4 4 663 587 117.4000 .4696 46.96 3.8021 74 9926 1985.2000 .9926 99.26 3.3043
SSO_APRX randInt 25 20 80 25 4 4 1352 1148 229.6000 .4592 45.92 3.7598 116 9884 1976.8000 .9884 98.84 3.2950
SSO_APRX randInt 25 40 80 25 4 4 2756 2244 448.8000 .4488 44.88 3.7045 74 9926 1985.2000 .9926 99.26 3.2910
SSO_APRX randInt 25 80 80 25 4 4 5311 4689 937.8000 .4689 46.89 3.7100 88 9912 1982.4000 .9912 99.12 3.2572
