Protocol Version Latency #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 1 15 80 20 15 4 4 0 10000 2000.0000 1.0000 100.00 2.6043 0 2500 500.0000 1.0000 100.00 2.5974
SIMPLE randInt 10 15 80 20 15 4 4 0 10000 2000.0000 1.0000 100.00 2.7104 0 2500 500.0000 1.0000 100.00 2.7018
SIMPLE randInt 50 15 80 20 15 4 4 0 10000 2000.0000 1.0000 100.00 3.2103 0 2500 500.0000 1.0000 100.00 3.2011
SIMPLE randInt 100 15 80 20 15 4 4 0 10000 2000.0000 1.0000 100.00 3.8070 0 2500 500.0000 1.0000 100.00 3.8023
SIMPLE randInt 150 15 80 20 15 4 4 0 10000 2000.0000 1.0000 100.00 4.4231 0 2500 500.0000 1.0000 100.00 4.4146
SIMPLE randInt 200 15 80 20 15 4 4 0 10000 2000.0000 1.0000 100.00 5.0070 0 2500 500.0000 1.0000 100.00 4.9959
SIMPLE randInt 250 15 80 20 15 4 4 0 9996 1999.2000 1.0000 100.00 5.6126 0 2499 499.8000 1.0000 100.00 5.6018
SIMPLE randInt 300 15 80 20 15 4 4 0 9967 1993.4000 1.0000 100.00 6.2384 0 2492 498.4000 1.0000 100.00 6.2256
CWFR randInt 1 15 80 20 15 4 4 7940 2060 412.0000 .2060 20.60 1.6503 0 2500 500.0000 1.0000 100.00 2.5982
CWFR randInt 10 15 80 20 15 4 4 7933 2067 413.4000 .2067 20.67 1.7088 0 2500 500.0000 1.0000 100.00 2.7075
CWFR randInt 50 15 80 20 15 4 4 7857 2143 428.6000 .2143 21.43 2.0390 0 2500 500.0000 1.0000 100.00 3.2412
CWFR randInt 100 15 80 20 15 4 4 7891 2109 421.8000 .2109 21.09 2.3759 0 2500 500.0000 1.0000 100.00 3.7777
CWFR randInt 150 15 80 20 15 4 4 7793 2207 441.4000 .2207 22.07 2.7635 0 2500 500.0000 1.0000 100.00 4.3860
CWFR randInt 200 15 80 20 15 4 4 7899 2101 420.2000 .2101 21.01 3.1091 0 2499 499.8000 1.0000 100.00 5.0049
CWFR randInt 250 15 80 20 15 4 4 7977 2023 404.6000 .2023 20.23 3.4439 0 2500 500.0000 1.0000 100.00 5.5971
CWFR randInt 300 15 80 20 15 4 4 8026 1974 394.8000 .1974 19.74 3.7984 0 2498 499.6000 1.0000 100.00 6.2145
SSO_APRX randInt 1 15 80 20 15 4 4 7101 2899 579.8000 .2899 28.99 1.8829 538 1962 392.4000 .7848 78.48 2.4248
SSO_APRX randInt 10 15 80 20 15 4 4 7014 2986 597.2000 .2986 29.86 1.9211 589 1911 382.2000 .7644 76.44 2.4509
SSO_APRX randInt 50 15 80 20 15 4 4 7214 2786 557.2000 .2786 27.86 2.2314 675 1825 365.0000 .7300 73.00 2.8205
SSO_APRX randInt 100 15 80 20 15 4 4 7325 2675 535.0000 .2675 26.75 2.6115 686 1814 362.8000 .7256 72.56 3.3408
SSO_APRX randInt 150 15 80 20 15 4 4 7156 2844 568.8000 .2844 28.44 3.0428 806 1694 338.8000 .6776 67.76 3.7846
SSO_APRX randInt 200 15 80 20 15 4 4 7233 2767 553.4000 .2767 27.67 3.4163 807 1693 338.6000 .6772 67.72 4.2880
SSO_APRX randInt 250 15 80 20 15 4 4 7320 2680 536.0000 .2680 26.80 3.7566 818 1682 336.4000 .6728 67.28 4.7682
SSO_APRX randInt 300 15 80 20 15 4 4 7539 2461 492.2000 .2461 24.61 4.0255 912 1588 317.6000 .6352 63.52 5.1367
