Protocol Version #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 25 10 10 300 4 4 0 1250 250.0000 1.0000 100.00 2.7719 0 1250 250.0000 1.0000 100.00 2.7659
SIMPLE randInt 25 20 10 300 4 4 0 2500 500.0000 1.0000 100.00 2.7742 0 1250 250.0000 1.0000 100.00 2.7780
SIMPLE randInt 25 40 10 300 4 4 0 5000 1000.0000 1.0000 100.00 2.7635 0 1250 250.0000 1.0000 100.00 2.7524
SIMPLE randInt 25 80 10 300 4 4 0 10000 2000.0000 1.0000 100.00 2.7725 0 1250 250.0000 1.0000 100.00 2.7602
SIMPLE randInt 25 10 20 300 4 4 0 1250 250.0000 1.0000 100.00 2.7878 0 2500 500.0000 1.0000 100.00 2.7887
SIMPLE randInt 25 20 20 300 4 4 0 2500 500.0000 1.0000 100.00 2.7817 0 2500 500.0000 1.0000 100.00 2.7772
SIMPLE randInt 25 40 20 300 4 4 0 5000 1000.0000 1.0000 100.00 2.7621 0 2500 500.0000 1.0000 100.00 2.7570
SIMPLE randInt 25 80 20 300 4 4 0 10000 2000.0000 1.0000 100.00 2.7641 0 2500 500.0000 1.0000 100.00 2.7501
SIMPLE randInt 25 10 40 300 4 4 0 1250 250.0000 1.0000 100.00 2.7963 0 5000 1000.0000 1.0000 100.00 2.7861
SIMPLE randInt 25 20 40 300 4 4 0 2500 500.0000 1.0000 100.00 2.7821 0 5000 1000.0000 1.0000 100.00 2.7746
SIMPLE randInt 25 40 40 300 4 4 0 5000 1000.0000 1.0000 100.00 2.7708 0 5000 1000.0000 1.0000 100.00 2.7532
SIMPLE randInt 25 80 40 300 4 4 0 10000 2000.0000 1.0000 100.00 2.8025 0 5000 1000.0000 1.0000 100.00 2.7925
