Protocol Version #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 10 10 10 10 4 4 0 1250 250.0000 1.0000 100.00 2.5222 0 1250 250.0000 1.0000 100.00 2.5052
SIMPLE randInt 10 20 10 10 4 4 0 2500 500.0000 1.0000 100.00 2.5753 0 1250 250.0000 1.0000 100.00 2.5527
SIMPLE randInt 10 40 10 10 4 4 0 5000 1000.0000 1.0000 100.00 2.5355 0 1250 250.0000 1.0000 100.00 2.5274
SIMPLE randInt 10 80 10 10 4 4 0 10000 2000.0000 1.0000 100.00 2.5871 0 1250 250.0000 1.0000 100.00 2.5553
SIMPLE randInt 10 10 20 10 4 4 0 1250 250.0000 1.0000 100.00 2.6048 0 2500 500.0000 1.0000 100.00 2.5810
SIMPLE randInt 10 20 20 10 4 4 0 2500 500.0000 1.0000 100.00 2.5358 0 2500 500.0000 1.0000 100.00 2.5228
SIMPLE randInt 10 40 20 10 4 4 0 5000 1000.0000 1.0000 100.00 2.5213 0 2500 500.0000 1.0000 100.00 2.4939
SIMPLE randInt 10 80 20 10 4 4 0 10000 2000.0000 1.0000 100.00 2.4964 0 2500 500.0000 1.0000 100.00 2.4893
SIMPLE randInt 10 10 40 10 4 4 0 1250 250.0000 1.0000 100.00 2.6221 0 5000 1000.0000 1.0000 100.00 2.5960
SIMPLE randInt 10 20 40 10 4 4 0 2500 500.0000 1.0000 100.00 2.4953 0 5000 1000.0000 1.0000 100.00 2.4761
SIMPLE randInt 10 40 40 10 4 4 0 5000 1000.0000 1.0000 100.00 2.5348 0 5000 1000.0000 1.0000 100.00 2.5146
SIMPLE randInt 10 80 40 10 4 4 0 10000 2000.0000 1.0000 100.00 2.5248 0 5000 1000.0000 1.0000 100.00 2.5145
SIMPLE randInt 10 10 80 10 4 4 0 1250 250.0000 1.0000 100.00 2.5085 0 10000 2000.0000 1.0000 100.00 2.5040
SIMPLE randInt 10 20 80 10 4 4 0 2500 500.0000 1.0000 100.00 2.5048 0 10000 2000.0000 1.0000 100.00 2.4865
SIMPLE randInt 10 40 80 10 4 4 0 5000 1000.0000 1.0000 100.00 2.5021 0 10000 2000.0000 1.0000 100.00 2.4901
SIMPLE randInt 10 80 80 10 4 4 0 10000 2000.0000 1.0000 100.00 2.5161 0 10000 2000.0000 1.0000 100.00 2.5019
CWFR randInt 10 10 10 10 4 4 932 318 63.6000 .2544 25.44 1.6820 0 1250 250.0000 1.0000 100.00 2.5392
CWFR randInt 10 20 10 10 4 4 1871 629 125.8000 .2516 25.16 1.6689 0 1250 250.0000 1.0000 100.00 2.5408
CWFR randInt 10 40 10 10 4 4 3792 1208 241.6000 .2416 24.16 1.6718 0 1250 250.0000 1.0000 100.00 2.5604
CWFR randInt 10 80 10 10 4 4 7540 2460 492.0000 .2460 24.60 1.6565 0 1250 250.0000 1.0000 100.00 2.5229
CWFR randInt 10 10 20 10 4 4 931 319 63.8000 .2552 25.52 1.6613 0 2500 500.0000 1.0000 100.00 2.5069
CWFR randInt 10 20 20 10 4 4 1874 626 125.2000 .2504 25.04 1.6698 0 2500 500.0000 1.0000 100.00 2.5493
CWFR randInt 10 40 20 10 4 4 3750 1250 250.0000 .2500 25.00 1.6605 0 2500 500.0000 1.0000 100.00 2.5107
CWFR randInt 10 80 20 10 4 4 7468 2532 506.4000 .2532 25.32 1.6564 0 2500 500.0000 1.0000 100.00 2.4928
CWFR randInt 10 10 40 10 4 4 980 270 54.0000 .2160 21.60 1.6320 0 5000 1000.0000 1.0000 100.00 2.5664
CWFR randInt 10 20 40 10 4 4 1924 576 115.2000 .2304 23.04 1.6250 0 5000 1000.0000 1.0000 100.00 2.4788
CWFR randInt 10 40 40 10 4 4 3908 1092 218.4000 .2184 21.84 1.6287 0 5000 1000.0000 1.0000 100.00 2.5192
CWFR randInt 10 80 40 10 4 4 7788 2212 442.4000 .2212 22.12 1.6309 0 5000 1000.0000 1.0000 100.00 2.5184
CWFR randInt 10 10 80 10 4 4 1056 194 38.8000 .1552 15.52 1.5760 0 10000 2000.0000 1.0000 100.00 2.5546
CWFR randInt 10 20 80 10 4 4 2103 397 79.4000 .1588 15.88 1.5441 0 10000 2000.0000 1.0000 100.00 2.4857
CWFR randInt 10 40 80 10 4 4 4202 798 159.6000 .1596 15.96 1.5522 0 10000 2000.0000 1.0000 100.00 2.4978
CWFR randInt 10 80 80 10 4 4 8546 1454 290.8000 .1454 14.54 1.5389 0 10000 2000.0000 1.0000 100.00 2.5153
SSO_APRX randInt 10 10 10 10 4 4 969 281 56.2000 .2248 22.48 1.6654 445 805 161.0000 .6440 64.40 2.1106
SSO_APRX randInt 10 20 10 10 4 4 1865 635 127.0000 .2540 25.40 1.6773 468 782 156.4000 .6256 62.56 2.0969
SSO_APRX randInt 10 40 10 10 4 4 3818 1182 236.4000 .2364 23.64 1.6778 473 777 155.4000 .6216 62.16 2.1043
SSO_APRX randInt 10 80 10 10 4 4 7458 2542 508.4000 .2542 25.42 1.6897 481 769 153.8000 .6152 61.52 2.0731
SSO_APRX randInt 10 10 20 10 4 4 821 429 85.8000 .3432 34.32 1.7949 282 2218 443.6000 .8872 88.72 2.3651
SSO_APRX randInt 10 20 20 10 4 4 1551 949 189.8000 .3796 37.96 1.8736 329 2171 434.2000 .8684 86.84 2.4408
SSO_APRX randInt 10 40 20 10 4 4 3209 1791 358.2000 .3582 35.82 1.8144 271 2229 445.8000 .8916 89.16 2.3777
SSO_APRX randInt 10 80 20 10 4 4 6503 3497 699.4000 .3497 34.97 1.7894 292 2208 441.6000 .8832 88.32 2.3528
SSO_APRX randInt 10 10 40 10 4 4 706 544 108.8000 .4352 43.52 1.9556 84 4916 983.2000 .9832 98.32 2.5363
SSO_APRX randInt 10 20 40 10 4 4 1408 1092 218.4000 .4368 43.68 1.8926 86 4914 982.8000 .9828 98.28 2.4682
SSO_APRX randInt 10 40 40 10 4 4 2686 2314 462.8000 .4628 46.28 1.9795 93 4907 981.4000 .9814 98.14 2.5230
SSO_APRX randInt 10 80 40 10 4 4 5380 4620 924.0000 .4620 46.20 1.9502 76 4924 984.8000 .9848 98.48 2.4854
SSO_APRX randInt 10 10 80 10 4 4 527 723 144.6000 .5784 57.84 2.1392 42 9958 1991.6000 .9958 99.58 2.5224
SSO_APRX randInt 10 20 80 10 4 4 1034 1466 293.2000 .5864 58.64 2.1187 51 9949 1989.8000 .9949 99.49 2.5017
SSO_APRX randInt 10 40 80 10 4 4 2066 2934 586.8000 .5868 58.68 2.1169 45 9955 1991.0000 .9955 99.55 2.4862
SSO_APRX randInt 10 80 80 10 4 4 4111 5889 1177.8000 .5889 58.89 2.1254 35 9965 1993.0000 .9965 99.65 2.4960
