Protocol Version Latency #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 1 10 80 20 10 4 4 0 10000 2000.0000 1.0000 100.00 2.3891 0 2500 500.0000 1.0000 100.00 2.3665
SIMPLE randInt 10 10 80 20 10 4 4 0 10000 2000.0000 1.0000 100.00 2.4964 0 2500 500.0000 1.0000 100.00 2.4893
SIMPLE randInt 50 10 80 20 10 4 4 0 10000 2000.0000 1.0000 100.00 2.9859 0 2500 500.0000 1.0000 100.00 2.9760
SIMPLE randInt 100 10 80 20 10 4 4 0 10000 2000.0000 1.0000 100.00 3.5671 0 2500 500.0000 1.0000 100.00 3.5484
SIMPLE randInt 150 10 80 20 10 4 4 0 10000 2000.0000 1.0000 100.00 4.1680 0 2500 500.0000 1.0000 100.00 4.1592
SIMPLE randInt 200 10 80 20 10 4 4 0 10000 2000.0000 1.0000 100.00 4.7750 0 2500 500.0000 1.0000 100.00 4.7675
SIMPLE randInt 250 10 80 20 10 4 4 0 9999 1999.8000 1.0000 100.00 5.3955 0 2500 500.0000 1.0000 100.00 5.3803
SIMPLE randInt 300 10 80 20 10 4 4 0 9980 1996.0000 1.0000 100.00 5.9987 0 2498 499.6000 1.0000 100.00 5.9799
CWFR randInt 1 10 80 20 10 4 4 7393 2607 521.4000 .2607 26.07 1.5966 0 2500 500.0000 1.0000 100.00 2.3792
CWFR randInt 10 10 80 20 10 4 4 7468 2532 506.4000 .2532 25.32 1.6564 0 2500 500.0000 1.0000 100.00 2.4928
CWFR randInt 50 10 80 20 10 4 4 7391 2609 521.8000 .2609 26.09 1.9726 0 2500 500.0000 1.0000 100.00 2.9910
CWFR randInt 100 10 80 20 10 4 4 7290 2710 542.0000 .2710 27.10 2.3475 0 2500 500.0000 1.0000 100.00 3.5435
CWFR randInt 150 10 80 20 10 4 4 7577 2423 484.6000 .2423 24.23 2.6835 0 2500 500.0000 1.0000 100.00 4.1585
CWFR randInt 200 10 80 20 10 4 4 7633 2367 473.4000 .2367 23.67 3.0517 0 2500 500.0000 1.0000 100.00 4.7992
CWFR randInt 250 10 80 20 10 4 4 7857 2143 428.6000 .2143 21.43 3.3605 0 2499 499.8000 1.0000 100.00 5.3732
CWFR randInt 300 10 80 20 10 4 4 7921 2079 415.8000 .2079 20.79 3.7215 0 2497 499.4000 1.0000 100.00 6.0062
SSO_APRX randInt 1 10 80 20 10 4 4 6528 3472 694.4000 .3472 34.72 1.7120 253 2247 449.4000 .8988 89.88 2.2779
SSO_APRX randInt 10 10 80 20 10 4 4 6503 3497 699.4000 .3497 34.97 1.7894 292 2208 441.6000 .8832 88.32 2.3529
SSO_APRX randInt 50 10 80 20 10 4 4 6323 3677 735.4000 .3677 36.77 2.1457 393 2107 421.4000 .8428 84.28 2.7463
SSO_APRX randInt 100 10 80 20 10 4 4 6033 3967 793.4000 .3967 39.67 2.6061 374 2126 425.2000 .8504 85.04 3.3311
SSO_APRX randInt 150 10 80 20 10 4 4 6403 3597 719.4000 .3597 35.97 2.9653 431 2069 413.8000 .8276 82.76 3.8392
SSO_APRX randInt 200 10 80 20 10 4 4 6152 3848 769.6000 .3848 38.48 3.4302 484 2016 403.2000 .8064 80.64 4.3299
SSO_APRX randInt 250 10 80 20 10 4 4 6088 3912 782.4000 .3912 39.12 3.8532 492 2008 401.6000 .8032 80.32 4.8896
SSO_APRX randInt 300 10 80 20 10 4 4 6293 3707 741.4000 .3707 37.07 4.2333 516 1984 396.8000 .7936 79.36 5.3705
