Protocol Version #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 20 10 10 20 4 4 0 1250 250.0000 1.0000 100.00 2.8510 0 1250 250.0000 1.0000 100.00 2.8311
SIMPLE randInt 20 20 10 20 4 4 0 2500 500.0000 1.0000 100.00 2.8636 0 1250 250.0000 1.0000 100.00 2.8639
SIMPLE randInt 20 40 10 20 4 4 0 5000 1000.0000 1.0000 100.00 2.8635 0 1250 250.0000 1.0000 100.00 2.8528
SIMPLE randInt 20 80 10 20 4 4 0 10000 2000.0000 1.0000 100.00 2.9056 0 1250 250.0000 1.0000 100.00 2.9016
SIMPLE randInt 20 10 20 20 4 4 0 1250 250.0000 1.0000 100.00 2.8423 0 2500 500.0000 1.0000 100.00 2.8383
SIMPLE randInt 20 20 20 20 4 4 0 2500 500.0000 1.0000 100.00 2.8878 0 2500 500.0000 1.0000 100.00 2.8898
SIMPLE randInt 20 40 20 20 4 4 0 5000 1000.0000 1.0000 100.00 2.8775 0 2500 500.0000 1.0000 100.00 2.8611
SIMPLE randInt 20 80 20 20 4 4 0 10000 2000.0000 1.0000 100.00 2.8423 0 2500 500.0000 1.0000 100.00 2.8295
SIMPLE randInt 20 10 40 20 4 4 0 1250 250.0000 1.0000 100.00 2.8870 0 5000 1000.0000 1.0000 100.00 2.8796
SIMPLE randInt 20 20 40 20 4 4 0 2500 500.0000 1.0000 100.00 2.8673 0 5000 1000.0000 1.0000 100.00 2.8540
SIMPLE randInt 20 40 40 20 4 4 0 5000 1000.0000 1.0000 100.00 2.8773 0 5000 1000.0000 1.0000 100.00 2.8660
SIMPLE randInt 20 80 40 20 4 4 0 10000 2000.0000 1.0000 100.00 2.9026 0 5000 1000.0000 1.0000 100.00 2.8949
SIMPLE randInt 20 10 80 20 4 4 0 1250 250.0000 1.0000 100.00 2.8682 0 10000 2000.0000 1.0000 100.00 2.8599
SIMPLE randInt 20 20 80 20 4 4 0 2500 500.0000 1.0000 100.00 2.8897 0 10000 2000.0000 1.0000 100.00 2.8755
SIMPLE randInt 20 40 80 20 4 4 0 5000 1000.0000 1.0000 100.00 2.8781 0 10000 2000.0000 1.0000 100.00 2.8706
SIMPLE randInt 20 80 80 20 4 4 0 10000 2000.0000 1.0000 100.00 2.8564 0 10000 2000.0000 1.0000 100.00 2.8508
CWFR randInt 20 10 10 20 4 4 976 274 54.8000 .2192 21.92 1.8039 0 1250 250.0000 1.0000 100.00 2.8459
CWFR randInt 20 20 10 20 4 4 1953 547 109.4000 .2188 21.88 1.7957 0 1250 250.0000 1.0000 100.00 2.8399
CWFR randInt 20 40 10 20 4 4 4018 982 196.4000 .1964 19.64 1.8040 0 1250 250.0000 1.0000 100.00 2.9160
CWFR randInt 20 80 10 20 4 4 7843 2157 431.4000 .2157 21.57 1.8039 0 1250 250.0000 1.0000 100.00 2.8788
CWFR randInt 20 10 20 20 4 4 1032 218 43.6000 .1744 17.44 1.7262 0 2500 500.0000 1.0000 100.00 2.8315
CWFR randInt 20 20 20 20 4 4 2047 453 90.6000 .1812 18.12 1.7570 0 2500 500.0000 1.0000 100.00 2.8628
CWFR randInt 20 40 20 20 4 4 4100 900 180.0000 .1800 18.00 1.7587 0 2500 500.0000 1.0000 100.00 2.8667
CWFR randInt 20 80 20 20 4 4 8209 1791 358.2000 .1791 17.91 1.7814 0 2500 500.0000 1.0000 100.00 2.9157
CWFR randInt 20 10 40 20 4 4 1095 155 31.0000 .1240 12.40 1.6880 0 5000 1000.0000 1.0000 100.00 2.8909
CWFR randInt 20 20 40 20 4 4 2228 272 54.4000 .1088 10.88 1.6665 0 5000 1000.0000 1.0000 100.00 2.8711
CWFR randInt 20 40 40 20 4 4 4392 608 121.6000 .1216 12.16 1.6853 0 5000 1000.0000 1.0000 100.00 2.8705
CWFR randInt 20 80 40 20 4 4 8764 1236 247.2000 .1236 12.36 1.6677 0 5000 1000.0000 1.0000 100.00 2.8391
CWFR randInt 20 10 80 20 4 4 1187 63 12.6000 .0504 5.04 1.5819 0 10000 2000.0000 1.0000 100.00 2.8836
CWFR randInt 20 20 80 20 4 4 2382 118 23.6000 .0472 4.72 1.5808 0 10000 2000.0000 1.0000 100.00 2.8670
CWFR randInt 20 40 80 20 4 4 4718 282 56.4000 .0564 5.64 1.5746 0 10000 2000.0000 1.0000 100.00 2.8537
CWFR randInt 20 80 80 20 4 4 9420 580 116.0000 .0580 5.80 1.5775 0 10000 2000.0000 1.0000 100.00 2.8317
SSO_APRX randInt 20 10 10 20 4 4 1097 153 30.6000 .1224 12.24 1.7885 737 513 102.6000 .4104 41.04 2.1140
