Protocol Version #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 10 10 10 45 4 4 0 1250 250.0000 1.0000 100.00 2.2027 0 1250 250.0000 1.0000 100.00 2.1825
SIMPLE randInt 10 20 10 45 4 4 0 2500 500.0000 1.0000 100.00 2.1935 0 1250 250.0000 1.0000 100.00 2.1525
SIMPLE randInt 10 40 10 45 4 4 0 5000 1000.0000 1.0000 100.00 2.1975 0 1250 250.0000 1.0000 100.00 2.1729
SIMPLE randInt 10 80 10 45 4 4 0 10000 2000.0000 1.0000 100.00 2.2280 0 1250 250.0000 1.0000 100.00 2.1978
SIMPLE randInt 10 10 20 45 4 4 0 1250 250.0000 1.0000 100.00 2.2483 0 2500 500.0000 1.0000 100.00 2.2288
SIMPLE randInt 10 20 20 45 4 4 0 2500 500.0000 1.0000 100.00 2.1890 0 2500 500.0000 1.0000 100.00 2.1502
SIMPLE randInt 10 40 20 45 4 4 0 5000 1000.0000 1.0000 100.00 2.2182 0 2500 500.0000 1.0000 100.00 2.1972
SIMPLE randInt 10 80 20 45 4 4 0 10000 2000.0000 1.0000 100.00 2.1812 0 2500 500.0000 1.0000 100.00 2.1534
SIMPLE randInt 10 10 40 45 4 4 0 1250 250.0000 1.0000 100.00 2.1679 0 5000 1000.0000 1.0000 100.00 2.1511
SIMPLE randInt 10 20 40 45 4 4 0 2500 500.0000 1.0000 100.00 2.1757 0 5000 1000.0000 1.0000 100.00 2.1477
SIMPLE randInt 10 40 40 45 4 4 0 5000 1000.0000 1.0000 100.00 2.1943 0 5000 1000.0000 1.0000 100.00 2.1648
SIMPLE randInt 10 80 40 45 4 4 0 10000 2000.0000 1.0000 100.00 2.2048 0 5000 1000.0000 1.0000 100.00 2.1801
SIMPLE randInt 10 10 80 45 4 4 0 1250 250.0000 1.0000 100.00 2.1749 0 10000 2000.0000 1.0000 100.00 2.1521
SIMPLE randInt 10 20 80 45 4 4 0 2500 500.0000 1.0000 100.00 2.2556 0 10000 2000.0000 1.0000 100.00 2.2225
SIMPLE randInt 10 40 80 45 4 4 0 5000 1000.0000 1.0000 100.00 2.2460 0 10000 2000.0000 1.0000 100.00 2.2088
SIMPLE randInt 10 80 80 45 4 4 0 10000 2000.0000 1.0000 100.00 2.1969 0 10000 2000.0000 1.0000 100.00 2.1652
CWFR randInt 10 10 10 45 4 4 807 443 88.6000 .3544 35.44 1.5837 0 1250 250.0000 1.0000 100.00 2.1570
CWFR randInt 10 20 10 45 4 4 1624 876 175.2000 .3504 35.04 1.5578 0 1250 250.0000 1.0000 100.00 2.1538
CWFR randInt 10 40 10 45 4 4 3165 1835 367.0000 .3670 36.70 1.6143 0 1250 250.0000 1.0000 100.00 2.2149
CWFR randInt 10 80 10 45 4 4 6414 3586 717.2000 .3586 35.86 1.5842 0 1250 250.0000 1.0000 100.00 2.1811
CWFR randInt 10 10 20 45 4 4 744 506 101.2000 .4048 40.48 1.6118 0 2500 500.0000 1.0000 100.00 2.1491
CWFR randInt 10 20 20 45 4 4 1525 975 195.0000 .3900 39.00 1.6196 0 2500 500.0000 1.0000 100.00 2.1909
CWFR randInt 10 40 20 45 4 4 2939 2061 412.2000 .4122 41.22 1.6069 0 2500 500.0000 1.0000 100.00 2.1216
CWFR randInt 10 80 20 45 4 4 5842 4158 831.6000 .4158 41.58 1.6327 0 2500 500.0000 1.0000 100.00 2.1729
CWFR randInt 10 10 40 45 4 4 761 489 97.8000 .3912 39.12 1.6499 0 5000 1000.0000 1.0000 100.00 2.2462
CWFR randInt 10 20 40 45 4 4 1561 939 187.8000 .3756 37.56 1.5973 0 5000 1000.0000 1.0000 100.00 2.1748
CWFR randInt 10 40 40 45 4 4 3082 1918 383.6000 .3836 38.36 1.6079 0 5000 1000.0000 1.0000 100.00 2.1867
CWFR randInt 10 80 40 45 4 4 6290 3710 742.0000 .3710 37.10 1.6473 0 5000 1000.0000 1.0000 100.00 2.2722
CWFR randInt 10 10 80 45 4 4 849 401 80.2000 .3208 32.08 1.5632 0 10000 2000.0000 1.0000 100.00 2.2337
CWFR randInt 10 20 80 45 4 4 1743 757 151.4000 .3028 30.28 1.5622 0 10000 2000.0000 1.0000 100.00 2.2478
CWFR randInt 10 40 80 45 4 4 3404 1596 319.2000 .3192 31.92 1.5726 0 10000 2000.0000 1.0000 100.00 2.2187
CWFR randInt 10 80 80 45 4 4 6821 3179 635.8000 .3179 31.79 1.5478 0 10000 2000.0000 1.0000 100.00 2.1970
